"6. Czy uważasz, że pracodawca nie zapewnia Ci? "
Grupa ,40-55 lat, Pytanie 6/1  -, narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,-,Odpowiedzi -,8,-,21.62,%
Grupa ,40-55 lat, Pytanie 6/2  -,odpowiednich do Twoich potrzeb warunków socjalnych,-,Odpowiedzi -,3,-,8.11,%
Grupa ,40-55 lat, Pytanie 6/3  -,możliwości awansu i/lub przejrzystych warunków jego uzyskania,-,Odpowiedzi -,12,-,32.43,%
Grupa ,40-55 lat, Pytanie 6/4  -,satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyżek,-,Odpowiedzi -,14,-,37.84,%
Grupa ,40-55 lat, Pytanie 6/5  -,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,-,Odpowiedzi -,8,-,21.62,%
Grupa ,40-55 lat, Pytanie 6/6  -,możliwości udziału w szkoleniach rozwijających kwalifikacje na zajmowanym stanowisku,-,Odpowiedzi -,7,-,18.92,%
Grupa ,40-55 lat, Pytanie 6/7  -,"bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę",-,Odpowiedzi -,0,-,0.00,%
Grupa ,40-55 lat, Pytanie 6/8  -,samodzielności w pracy adekwatnej do posiadanych kwalifikacji i doświadczenia,-,Odpowiedzi -,3,-,8.11,%
Grupa ,40-55 lat, Pytanie 6/9  -,dopasowanego do potrzeb systemu motywacyjnego,-,Odpowiedzi -,8,-,21.62,%
Grupa ,40-55 lat, Pytanie 6/10  -,równowagi pomiędzy pracą a życiem osobistym (work life balance),-,Odpowiedzi -,4,-,10.81,%
Grupa ,40-55 lat, Pytanie 6/11  -,przejrzystego systemu oceny pracy,-,Odpowiedzi -,7,-,18.92,%
Grupa ,40-55 lat, Pytanie 6/12  -,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),-,Odpowiedzi -,11,-,29.73,%
Grupa ,40-55 lat, Pytanie 6/13  -,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,-,Odpowiedzi -,5,-,13.51,%
Grupa ,40-55 lat, Pytanie 6/14  -,szacunku i poszanowania godności,-,Odpowiedzi -,5,-,13.51,%
Grupa ,40-55 lat, Pytanie 6/15  -,dbałości o klimat sprzyjający zadowoleniu z pracy,-,Odpowiedzi -,9,-,24.32,%
Liczba respondentów = ,37
